STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"34","017","002800","34017002800","28",Census Tract 28,G5020,S,"295626","0","+40.7266478","-074.0731570"
"34","017","000102","34017000102","1.02",Census Tract 1.02,G5020,S,"242943","0","+40.7551409","-074.0498247"
"34","017","007001","34017007001","70.01",Census Tract 70.01,G5020,S,"121779","0","+40.7238615","-074.0428615"
"34","017","007002","34017007002","70.02",Census Tract 70.02,G5020,S,"130148","0","+40.7210670","-074.0435001"
"34","017","003101","34017003101","31.01",Census Tract 31.01,G5020,S,"69326","0","+40.7219191","-074.0639668"
"34","017","005802","34017005802","58.02",Census Tract 58.02,G5020,S,"4807205","7932243","+40.6851074","-074.0705578"
"34","017","002400","34017002400","24",Census Tract 24,G5020,S,"159733","0","+40.7265797","-074.0452695"
"34","017","005600","34017005600","56",Census Tract 56,G5020,S,"230611","0","+40.7059690","-074.0913535"
"34","017","000902","34017000902","9.02",Census Tract 9.02,G5020,S,"519397","0","+40.7399570","-074.0623687"
"34","017","004300","34017004300","43",Census Tract 43,G5020,S,"219063","0","+40.7164600","-074.0709387"
"34","017","001400","34017001400","14",Census Tract 14,G5020,S,"234502","0","+40.7344942","-074.0521021"
"34","017","000400","34017000400","4",Census Tract 4,G5020,S,"464657","0","+40.7497760","-074.0584490"
"34","017","000500","34017000500","5",Census Tract 5,G5020,S,"221479","0","+40.7499237","-074.0513269"
"34","017","000700","34017000700","7",Census Tract 7,G5020,S,"230570","0","+40.7461485","-074.0469440"
"34","017","000800","34017000800","8",Census Tract 8,G5020,S,"331649","0","+40.7440833","-074.0440275"
"34","017","001100","34017001100","11",Census Tract 11,G5020,S,"492168","48371","+40.7406986","-074.0571457"
"34","017","001202","34017001202","12.02",Census Tract 12.02,G5020,S,"231662","0","+40.7322156","-074.0555134"
"34","017","001300","34017001300","13",Census Tract 13,G5020,S,"333335","0","+40.7380921","-074.0469768"
"34","017","001800","34017001800","18",Census Tract 18,G5020,S,"212933","0","+40.7343941","-074.0699820"
"34","017","001900","34017001900","19",Census Tract 19,G5020,S,"230989","0","+40.7333233","-074.0621577"
"34","017","006101","34017006101","61.01",Census Tract 61.01,G5020,S,"377377","0","+40.6977897","-074.1016266"
"34","017","005901","34017005901","59.01",Census Tract 59.01,G5020,S,"269660","0","+40.7015964","-074.0982172"
"34","017","006102","34017006102","61.02",Census Tract 61.02,G5020,S,"398133","0","+40.6912201","-074.0985351"
"34","017","007701","34017007701","77.01",Census Tract 77.01,G5020,S,"418916","376372","+40.7264658","-074.0317951"
"34","017","007702","34017007702","77.02",Census Tract 77.02,G5020,S,"195497","0","+40.7317131","-074.0368277"
