AREAKEY,SHRWHT7,SHRBLK7,SHRHSP7,AVHHIN7,TOTHSUN7,RNTOCC7,OWNOCC7,OWNOCCB7,OWNOCCH7,RNTOCCB7,RNTOCCH7,TRCTPOP8,SHRBLK8,SHRNHW8,SHRHSP8,AVHHIN8,OCCHU8,RNTOCC8,OWNOCC8,OWNOCCW8,OWNOCCB8,OWNOCCH8,RNTOCCW8,RNTOCCB8,RNTOCCH8,MDGRENT8,TRCTPOP9,SHRBLK9,SHRNHW9,SHRHSP9,AVHHIN9,TOTHSUN9,RNTOCC9,OWNOCC9,OWNOCCB9,OWNOCCH9,OWNOCCX9,RNTOCCB9,RNTOCCH9,RNTOCCX9,MDGRENT9,TRCTPOP0,SHRBLK0,SHRNHW0,SHRHSP0,AVHHIN0,MDHHY0,TOTHSUN0,RNTOCC0,OWNOCC0,OWNOCCB0,OWNOCCH0,OWNOCCX0,RNTOCCB0,RNTOCCH0,RNTOCCX0,MDGRENT0,R39PI0,R49PI0,R50PI0,TRCTPOP1,SHRBLK1,SHRNHW1,SHRHSP1,TOTHSUN1,RNTOCC1,OWNOCC1,OWNOCCB1,OWNOCCH1,OWNOCCX1,RNTOCCB1,RNTOCCH1,RNTOCCX1,TOTHSUN1A,RNTOCC1A,OWNOCC1A,OWNOCCB1A,OWNOCCH1A,OWNOCCX1A,RNTOCCB1A,RNTOCCH1A,RNTOCCX1A,MDGRENT1A,R39PI1A,R49PI1A,R50PI1A
34017000100,0.996354,0.001563,0.039937,10269.352911,2011,1036,921,0,0,0,0,5176,0.010433,0.882148,0.079985,18554.456919,1914,999,915,883,9,26,939,19,96,239,5397,0.015564,0.645544,0.208449,39124.411765,2071,1049,890,10,89,709,24,255,694,614,5775,0.049524,0.367965,0.315498,51181.726908,42313,2078,1075,921,10,189,498,80,383,426,750,105,59,163,6025,0.080332,0.239170,0.407967,2192,1161,844,39,230,349,103,510,317,2247,969,1133,27,400,347,84,431,283,1341,97,131,316
34017000200,0.981430,0.016009,0.086660,8188.085106,1705,1162,483,25,44,0,0,4488,0.014483,0.784537,0.196747,14352.223536,1682,1198,484,469,0,85,1085,37,235,220,4715,0.072322,0.504136,0.391941,29554.706079,1959,1333,459,0,98,324,107,446,788,576,5968,0.064176,0.265248,0.544403,43755.849241,30158,2095,1547,494,20,157,239,107,770,509,664,275,104,308,5409,0.102607,0.183768,0.621557,2121,1517,441,18,161,182,165,934,318,2079,1377,523,79,213,182,104,891,275,962,208,31,483
34017000300,0.997309,0.000000,0.051138,9108.805096,1481,928,523,0,0,0,0,4027,0.005711,0.780233,0.186243,15946.434496,1510,990,519,504,6,34,913,0,170,228,4037,0.050285,0.585583,0.343572,36184.408749,1615,949,533,13,74,415,58,330,564,572,4412,0.082276,0.347008,0.551451,49377.086387,40158,1593,1035,496,25,145,272,105,557,350,710,171,56,141,4220,0.084834,0.300948,0.555924,1750,1114,501,27,161,269,98,593,352,1663,1136,432,10,128,231,151,698,307,1120,184,123,267
34017000400,0.995928,0.001273,0.062611,10500.375189,1346,736,585,0,0,0,0,3407,0.000000,0.888758,0.063105,19533.613618,1263,700,563,534,0,17,651,0,55,236,3414,0.019625,0.655243,0.198301,39954.866559,1353,693,567,7,51,455,22,147,467,597,3848,0.047037,0.422037,0.277027,46803.857791,42375,1371,760,555,12,91,334,56,230,288,709,51,22,180,3991,0.082185,0.255826,0.324981,1479,858,489,23,105,226,87,294,220,1475,783,551,99,185,127,103,192,246,1317,88,75,162
34017000500,0.994246,0.003117,0.023735,8754.337592,1527,967,520,0,0,0,0,3712,0.020205,0.835129,0.125269,16233.784722,1431,923,508,493,5,30,846,25,107,224,4026,0.019871,0.610780,0.238698,35356.722222,1610,968,512,0,49,413,26,238,607,559,4226,0.072882,0.327970,0.396119,49791.512663,37473,1536,992,467,19,105,252,72,398,373,718,137,55,221,4311,0.089770,0.226862,0.447228,1617,1044,453,23,152,188,90,468,256,1577,1091,389,0,87,214,99,437,371,963,97,85,221
34017000600,0.997915,0.002085,0.022415,9243.988685,2163,1482,639,0,0,0,0,5082,0.010232,0.869146,0.107241,16399.554618,2110,1494,616,613,6,32,1423,0,142,221,5227,0.028697,0.618519,0.263822,31904.229952,2256,1497,621,0,77,518,58,389,971,528,5858,0.078867,0.367702,0.407306,44496.450257,38486,2211,1523,618,19,131,373,100,617,547,658,265,68,210,5750,0.122609,0.240870,0.433739,2303,1460,655,43,175,313,164,671,369,2253,1468,503,47,145,233,113,671,429,1121,290,117,399
34017000700,0.991436,0.002691,0.039638,7927.665505,1497,1103,332,0,0,0,0,3550,0.002817,0.723380,0.255775,14736.679160,1293,979,314,300,0,14,901,15,215,218,3805,0.058870,0.462549,0.427858,35145.803438,1448,1014,337,13,78,226,68,387,544,531,4032,0.081101,0.260169,0.555556,45807.905983,31324,1474,1073,332,13,92,184,87,552,320,678,120,86,236,3486,0.100688,0.247849,0.563683,1487,962,383,20,132,190,98,502,285,1564,1002,379,65,82,173,135,509,242,1157,96,62,312
34017000800,0.989725,0.003823,0.071446,8435.244243,1472,1033,400,0,34,0,0,3633,0.015965,0.605560,0.357556,15393.703846,1296,931,365,332,1,75,736,37,310,222,3869,0.084518,0.450762,0.442492,33819.932191,1578,1029,386,1,81,285,117,409,500,621,4078,0.116969,0.274644,0.533350,47558.659106,39429,1639,1138,362,34,115,187,156,517,358,751,177,56,224,3900,0.113333,0.262821,0.551282,1756,1065,455,39,141,230,129,529,327,1779,1081,498,52,145,234,182,506,267,1255,92,58,250
34017000902,0.987542,0.008235,0.057221,11639.352058,2241,1705,360,31,49,0,0,5525,0.052308,0.751855,0.135566,17304.838339,2632,2272,360,324,0,57,1963,120,196,259,5581,0.074897,0.611181,0.148361,33380.659740,2858,1962,705,24,12,578,171,230,1333,482,6103,0.087662,0.407013,0.184663,47751.864035,39113,2840,1946,791,13,60,455,159,349,870,603,319,130,292,6100,0.078197,0.284590,0.160656,2917,1908,803,61,68,360,146,354,614,2969,1913,764,22,70,424,144,548,703,780,262,172,369
34017001000,1.000000,0.000000,0.039781,10176.111111,752,457,281,0,0,0,0,1810,0.000000,0.908287,0.083978,17931.721854,741,458,283,278,0,8,445,0,36,230,1908,0.029874,0.717505,0.203354,37835.000000,807,459,305,5,41,238,15,72,376,536,1851,0.026472,0.541869,0.200972,53115.989160,41026,768,465,278,8,61,162,0,72,289,711,32,68,102,1986,0.060926,0.314703,0.287009,805,501,236,5,49,135,45,132,158,793,329,383,12,52,252,11,123,117,888,23,34,63
